areaCode,areaName,areaType,date,newLFDTests
E12000001,North East,region,2021-10-03,22792
E12000001,North East,region,2021-10-02,12391
E12000001,North East,region,2021-10-01,17920
E12000001,North East,region,2021-09-30,22281
E12000001,North East,region,2021-09-29,25906
E12000001,North East,region,2021-09-28,19387
E12000001,North East,region,2021-09-27,27948
E12000001,North East,region,2021-09-26,27913
E12000001,North East,region,2021-09-25,13280
E12000001,North East,region,2021-09-24,20182
E12000001,North East,region,2021-09-23,25128
E12000001,North East,region,2021-09-22,25842
E12000001,North East,region,2021-09-21,20202
E12000001,North East,region,2021-09-20,29289
E12000001,North East,region,2021-09-19,31087
E12000001,North East,region,2021-09-18,13938
E12000001,North East,region,2021-09-17,19842
E12000001,North East,region,2021-09-16,25308
E12000001,North East,region,2021-09-15,28853
E12000001,North East,region,2021-09-14,23256
E12000001,North East,region,2021-09-13,37037
E12000001,North East,region,2021-09-12,30252
E12000001,North East,region,2021-09-11,15041
E12000001,North East,region,2021-09-10,34824
E12000001,North East,region,2021-09-09,39602
E12000001,North East,region,2021-09-08,41190
E12000001,North East,region,2021-09-07,39429
E12000001,North East,region,2021-09-06,51076
E12000001,North East,region,2021-09-05,26557
E12000001,North East,region,2021-09-04,14478
E12000001,North East,region,2021-09-03,36102
E12000001,North East,region,2021-09-02,30635
E12000001,North East,region,2021-09-01,27917
E12000001,North East,region,2021-08-31,25407
E12000001,North East,region,2021-08-30,18889
E12000001,North East,region,2021-08-29,15893
E12000001,North East,region,2021-08-28,14849
E12000001,North East,region,2021-08-27,20720
E12000001,North East,region,2021-08-26,24420
E12000001,North East,region,2021-08-25,25315
E12000001,North East,region,2021-08-24,18293
E12000001,North East,region,2021-08-23,21491
E12000001,North East,region,2021-08-22,17121
E12000001,North East,region,2021-08-21,12005
E12000001,North East,region,2021-08-20,17872
E12000001,North East,region,2021-08-19,18042
E12000001,North East,region,2021-08-18,17979
E12000001,North East,region,2021-08-17,15953
E12000001,North East,region,2021-08-16,21154
E12000001,North East,region,2021-08-15,17311
E12000001,North East,region,2021-08-14,11563
E12000001,North East,region,2021-08-13,17032
E12000001,North East,region,2021-08-12,18583
E12000001,North East,region,2021-08-11,19113
E12000001,North East,region,2021-08-10,16829
E12000001,North East,region,2021-08-09,22658
E12000001,North East,region,2021-08-08,18154
E12000001,North East,region,2021-08-07,12010
E12000001,North East,region,2021-08-06,17890
E12000001,North East,region,2021-08-05,19840
E12000001,North East,region,2021-08-04,20469
E12000001,North East,region,2021-08-03,17789
E12000001,North East,region,2021-08-02,23784
E12000001,North East,region,2021-08-01,19302
E12000001,North East,region,2021-07-31,13816
E12000001,North East,region,2021-07-30,19890
E12000001,North East,region,2021-07-29,21798
E12000001,North East,region,2021-07-28,23748
E12000001,North East,region,2021-07-27,20085
E12000001,North East,region,2021-07-26,27212
E12000001,North East,region,2021-07-25,23277
E12000001,North East,region,2021-07-24,14955
E12000001,North East,region,2021-07-23,22423
E12000001,North East,region,2021-07-22,26793
E12000001,North East,region,2021-07-21,28557
E12000001,North East,region,2021-07-20,22967
E12000001,North East,region,2021-07-19,32742
E12000001,North East,region,2021-07-18,30906
E12000001,North East,region,2021-07-17,17031
E12000001,North East,region,2021-07-16,24825
E12000001,North East,region,2021-07-15,33496
E12000001,North East,region,2021-07-14,39975
E12000001,North East,region,2021-07-13,28400
E12000001,North East,region,2021-07-12,38621
E12000001,North East,region,2021-07-11,38649
E12000001,North East,region,2021-07-10,18059
E12000001,North East,region,2021-07-09,25431
E12000001,North East,region,2021-07-08,34261
E12000001,North East,region,2021-07-07,41154
E12000001,North East,region,2021-07-06,29284
E12000001,North East,region,2021-07-05,41630
E12000001,North East,region,2021-07-04,45334
E12000001,North East,region,2021-07-03,17340
E12000001,North East,region,2021-07-02,25388
E12000001,North East,region,2021-07-01,35773
E12000001,North East,region,2021-06-30,42994
E12000001,North East,region,2021-06-29,26073
E12000001,North East,region,2021-06-28,41244
E12000001,North East,region,2021-06-27,45923
E12000001,North East,region,2021-06-26,15223
E12000001,North East,region,2021-06-25,23949
E12000001,North East,region,2021-06-24,33799
E12000001,North East,region,2021-06-23,40695
E12000001,North East,region,2021-06-22,23696
E12000001,North East,region,2021-06-21,37843
E12000001,North East,region,2021-06-20,42147
E12000001,North East,region,2021-06-19,13239
E12000001,North East,region,2021-06-18,21550
E12000001,North East,region,2021-06-17,32032
E12000001,North East,region,2021-06-16,37208
E12000001,North East,region,2021-06-15,22396
E12000001,North East,region,2021-06-14,36923
E12000001,North East,region,2021-06-13,39189
E12000001,North East,region,2021-06-12,11476
E12000001,North East,region,2021-06-11,19773
E12000001,North East,region,2021-06-10,28552
E12000001,North East,region,2021-06-09,34150
E12000001,North East,region,2021-06-08,19170
E12000001,North East,region,2021-06-07,33665
E12000001,North East,region,2021-06-06,48442
E12000001,North East,region,2021-06-05,12134
E12000001,North East,region,2021-06-04,18324
E12000001,North East,region,2021-06-03,22976
E12000001,North East,region,2021-06-02,26456
E12000001,North East,region,2021-06-01,23723
E12000001,North East,region,2021-05-31,22922
E12000001,North East,region,2021-05-30,21004
E12000001,North East,region,2021-05-29,10471
E12000001,North East,region,2021-05-28,18523
E12000001,North East,region,2021-05-27,29332
E12000001,North East,region,2021-05-26,38492
E12000001,North East,region,2021-05-25,21754
E12000001,North East,region,2021-05-24,36553
E12000001,North East,region,2021-05-23,45328
E12000001,North East,region,2021-05-22,11653
E12000001,North East,region,2021-05-21,20186
E12000001,North East,region,2021-05-20,32541
E12000001,North East,region,2021-05-19,39709
E12000001,North East,region,2021-05-18,20662
E12000001,North East,region,2021-05-17,37247
E12000001,North East,region,2021-05-16,45969
E12000001,North East,region,2021-05-15,9656
E12000001,North East,region,2021-05-14,18409
E12000001,North East,region,2021-05-13,32378
E12000001,North East,region,2021-05-12,41246
E12000001,North East,region,2021-05-11,20220
E12000001,North East,region,2021-05-10,37788
E12000001,North East,region,2021-05-09,51836
E12000001,North East,region,2021-05-08,10307
E12000001,North East,region,2021-05-07,20041
E12000001,North East,region,2021-05-06,33475
E12000001,North East,region,2021-05-05,43626
E12000001,North East,region,2021-05-04,31728
E12000001,North East,region,2021-05-03,44740
E12000001,North East,region,2021-05-02,32550
E12000001,North East,region,2021-05-01,9965
E12000001,North East,region,2021-04-30,18851
E12000001,North East,region,2021-04-29,35846
E12000001,North East,region,2021-04-28,48645
E12000001,North East,region,2021-04-27,22447
E12000001,North East,region,2021-04-26,42065
E12000001,North East,region,2021-04-25,59344
E12000001,North East,region,2021-04-24,10993
E12000001,North East,region,2021-04-23,19654
E12000001,North East,region,2021-04-22,37601
E12000001,North East,region,2021-04-21,51207
E12000001,North East,region,2021-04-20,22624
E12000001,North East,region,2021-04-19,42032
