country,healthGrade,pop2021
spain,92.75,46745.216
italy,91.59,60367.477
iceland,91.44,343.353
japan,91.38,126050.804
switzerland,90.93,8715.494
sweden,90.24,10160.169
australia,89.75,25788.215
singapore,89.29,5896.686
norway,89.09,5465.63
israel,88.15,8789.774
luxembourg,87.39,634.814
france,86.94,65426.179
austria,86.3,9043.07
finland,85.89,5548.36
netherlands,85.86,17173.099
canada,85.7,38067.903
south korea,85.41,51305.186
new zealand,85.06,4860.643
united kingdom,84.28,68207.116
ireland,84.06,4982.907
cyprus,83.58,1215.584
portugal,83.1,10167.925
germany,83.06,83900.473
slovenia,82.72,2078.724
denmark,82.69,5813.298
greece,82.29,10370.744
malta,81.7,442.784
belgium,80.46,11632.326
czech republic,77.59,10724.555
cuba,74.66,11317.505
croatia,73.36,4081.651
estonia,73.32,1325.185
costa rica,73.21,5139.052
chile,73.21,19212.361
united states,73.02,332915.073
bahrain,72.31,1748.296
qatar,71.97,2930.528
maldives,70.95,543.617
lebanon,70.53,6769.146
poland,70.25,37797.005
montenegro,69.69,628.053
bosnia and herzegovina,69.66,3263.466
albania,68.04,2872.933
brunei,67.96,441.532
slovakia,67.28,5460.721
united arab emirates,67.14,9991.089
uruguay,65.66,3485.151
hungary,64.43,9634.164
oman,64.07,5223.375
panama,64.01,4381.579
turkey,62.81,85042.738
china,62.52,1444216.107
mexico,62.09,130262.216
argentina,61.19,45605.826
serbia,60.99,8697.55
