"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.634,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2289.326,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2577.159,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2816.73,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2994.952,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3197.517,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3421.883,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.14,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4092.619,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.269,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4383.645,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4624.966,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4659.025,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",4793.46,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",4919.24,"E"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2000",2450.981,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2001",2622.729,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2002",2758.065,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2003",2912.455,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2004",3120.838,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2005",3291.912,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2006",3484.943,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2007",3706.77,
