Date,Country,Value
2000,Ethiopia,124
2001,Ethiopia,121
2002,Ethiopia,112
2003,Ethiopia,119
2004,Ethiopia,136
2005,Ethiopia,162
2006,Ethiopia,195
2007,Ethiopia,244
2008,Ethiopia,326
2009,Ethiopia,381
2010,Ethiopia,342
2011,Ethiopia,354
2012,Ethiopia,467
2013,Ethiopia,500
2014,Ethiopia,567
2015,Ethiopia,641
2016,Ethiopia,717
2017,Ethiopia,769
2018,Ethiopia,772
2019,Ethiopia,856
2020,Ethiopia,936
2000,Ghana,258
2001,Ghana,269
2002,Ghana,305
2003,Ghana,368
2004,Ghana,418
2005,Ghana,493
2006,Ghana,913
2007,Ghana,1081
2008,Ghana,1217
2009,Ghana,1078
2010,Ghana,1299
2011,Ghana,1549
2012,Ghana,1588
2013,Ghana,2361
2014,Ghana,1900
2015,Ghana,1706
2016,Ghana,1913
2017,Ghana,2021
2018,Ghana,2194
2019,Ghana,2210
2020,Ghana,2329
2000,Kenya,397
2001,Kenya,395
2002,Kenya,390
2003,Kenya,430
2004,Kenya,452
2005,Kenya,512
2006,Kenya,686
2007,Kenya,826
2008,Kenya,902
2009,Kenya,905
2010,Kenya,952
2011,Kenya,972
2012,Kenya,1137
2013,Kenya,1210
2014,Kenya,1316
2015,Kenya,1337
2016,Kenya,1411
2017,Kenya,1572
2018,Kenya,1708
2019,Kenya,1817
2020,Kenya,1838
2000,Nigeria,568
2001,Nigeria,590
2002,Nigeria,742
2003,Nigeria,795
2004,Nigeria,1008
2005,Nigeria,1268
2006,Nigeria,1656
2007,Nigeria,1883
2008,Nigeria,2243
2009,Nigeria,1891
2010,Nigeria,2280
2011,Nigeria,2488
2012,Nigeria,2724
2013,Nigeria,2962
2014,Nigeria,3099
2015,Nigeria,2687
2016,Nigeria,2176
2017,Nigeria,1969
2018,Nigeria,2028
2019,Nigeria,2230
2020,Nigeria,2097
2000,Rwanda,261
2001,Rwanda,239
2002,Rwanda,233
2003,Rwanda,250
2004,Rwanda,274
2005,Rwanda,332
2006,Rwanda,367
2007,Rwanda,439
2008,Rwanda,544
2009,Rwanda,580
2010,Rwanda,610
2011,Rwanda,668
2012,Rwanda,725
2013,Rwanda,723
2014,Rwanda,744
2015,Rwanda,751
2016,Rwanda,745
2017,Rwanda,772
2018,Rwanda,784
2019,Rwanda,820
2020,Rwanda,798
