LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
KOR,GDP,TOT,USD_CAP,A,2000,18539.42075,
KOR,GDP,TOT,USD_CAP,A,2001,19713.59554,
KOR,GDP,TOT,USD_CAP,A,2002,21396.71919,
KOR,GDP,TOT,USD_CAP,A,2003,22084.77857,
KOR,GDP,TOT,USD_CAP,A,2004,23763.30783,
KOR,GDP,TOT,USD_CAP,A,2005,25186.6381,
KOR,GDP,TOT,USD_CAP,A,2006,26875.23251,
KOR,GDP,TOT,USD_CAP,A,2007,29050.15963,
KOR,GDP,TOT,USD_CAP,A,2008,29945.89922,
KOR,GDP,TOT,USD_CAP,A,2009,29529.7856,
KOR,GDP,TOT,USD_CAP,A,2010,31748.35357,
KOR,GDP,TOT,USD_CAP,A,2011,32546.51773,
KOR,GDP,TOT,USD_CAP,A,2012,33557.03045,
KOR,GDP,TOT,USD_CAP,A,2013,34244.23949,
KOR,GDP,TOT,USD_CAP,A,2014,35324.2603,
KOR,GDP,TOT,USD_CAP,A,2015,37902.36102,
KOR,GDP,TOT,USD_CAP,A,2016,39575.30208,
KOR,GDP,TOT,USD_CAP,A,2017,40957.34706,
KOR,GDP,TOT,USD_CAP,A,2018,42486.73981,
MEX,GDP,TOT,USD_CAP,A,2000,10870.40959,
MEX,GDP,TOT,USD_CAP,A,2001,10931.09462,
MEX,GDP,TOT,USD_CAP,A,2002,10999.98034,
MEX,GDP,TOT,USD_CAP,A,2003,11302.73755,
MEX,GDP,TOT,USD_CAP,A,2004,11921.8371,
MEX,GDP,TOT,USD_CAP,A,2005,12539.95753,
MEX,GDP,TOT,USD_CAP,A,2006,13720.68829,
MEX,GDP,TOT,USD_CAP,A,2007,14233.02948,
MEX,GDP,TOT,USD_CAP,A,2008,14885.90244,
MEX,GDP,TOT,USD_CAP,A,2009,14532.38651,
MEX,GDP,TOT,USD_CAP,A,2010,15257.67366,
MEX,GDP,TOT,USD_CAP,A,2011,16546.64141,
MEX,GDP,TOT,USD_CAP,A,2012,17220.06914,
MEX,GDP,TOT,USD_CAP,A,2013,17461.79827,
MEX,GDP,TOT,USD_CAP,A,2014,18178.39742,
MEX,GDP,TOT,USD_CAP,A,2015,18454.80148,
MEX,GDP,TOT,USD_CAP,A,2016,19516.14502,
MEX,GDP,TOT,USD_CAP,A,2017,19947.19769,
MEX,GDP,TOT,USD_CAP,A,2018,20519.57785,
TUR,GDP,TOT,USD_CAP,A,2000,9478.892226,
TUR,GDP,TOT,USD_CAP,A,2001,9145.527684,
TUR,GDP,TOT,USD_CAP,A,2002,9279.072677,
TUR,GDP,TOT,USD_CAP,A,2003,9587.561223,
TUR,GDP,TOT,USD_CAP,A,2004,10875.23823,
TUR,GDP,TOT,USD_CAP,A,2005,11910.60672,
TUR,GDP,TOT,USD_CAP,A,2006,13623.40288,
TUR,GDP,TOT,USD_CAP,A,2007,14845.03467,
TUR,GDP,TOT,USD_CAP,A,2008,16038.23165,
TUR,GDP,TOT,USD_CAP,A,2009,15453.98284,
TUR,GDP,TOT,USD_CAP,A,2010,17359.96719,
TUR,GDP,TOT,USD_CAP,A,2011,19590.85837,
TUR,GDP,TOT,USD_CAP,A,2012,20627.44073,
TUR,GDP,TOT,USD_CAP,A,2013,22373.13654,
TUR,GDP,TOT,USD_CAP,A,2014,24104.98458,
TUR,GDP,TOT,USD_CAP,A,2015,25855.91268,
TUR,GDP,TOT,USD_CAP,A,2016,26695.90937,
TUR,GDP,TOT,USD_CAP,A,2017,28193.0614,
TUR,GDP,TOT,USD_CAP,A,2018,28266.68687,
ISR,GDP,TOT,USD_CAP,A,2000,24892.76487,
ISR,GDP,TOT,USD_CAP,A,2001,24861.0125,
ISR,GDP,TOT,USD_CAP,A,2002,25150.07107,
ISR,GDP,TOT,USD_CAP,A,2003,23747.63551,
