LOCATION,TIME,LE Value,GDP Value
Australia,2000,79.3,28305.4834
Australia,2001,79.7,29545.06484
Australia,2002,80,30800.45213
Australia,2003,80.3,32336.49445
Australia,2004,80.6,33947.34292
Australia,2005,80.9,35642.41871
Australia,2006,81.1,37880.89557
Australia,2007,81.4,39638.55163
Australia,2008,81.5,40105.1103
Australia,2009,81.6,41666.76351
Australia,2010,81.8,42825.60573
Australia,2011,82,44429.55951
Australia,2012,82.1,43883.37889
Australia,2013,82.2,47761.90126
Australia,2014,82.4,47603.88088
Australia,2015,82.5,47232.62912
Australia,2016,82.5,50150.6522
Australia,2017,82.6,50699.17511
Australia,2018,82.8,52907.90159
Australia,2019,83,52956.73691
Austria,2000,78.2,29388.78496
Austria,2001,78.7,29715.63602
Austria,2002,78.8,31178.05144
Austria,2003,78.7,32123.69619
Austria,2004,79.3,33756.25941
Austria,2005,79.4,35024.55748
Austria,2006,80,37614.94276
Austria,2007,80.3,39384.18962
Austria,2008,80.5,41316.02264
Austria,2009,80.4,40957.26232
Austria,2010,80.7,42053.24337
Austria,2011,81.1,44469.20964
Austria,2012,81,46477.65508
Austria,2013,81.2,47936.67796
Austria,2014,81.6,48813.53441
Austria,2015,81.3,49942.05629
Austria,2016,81.7,52665.08746
Austria,2017,81.7,54188.36067
Austria,2018,81.8,57077.72533
Austria,2019,82,58656.34638
Belgium,2000,77.8,27797.3333
Belgium,2001,78.1,28799.32751
Belgium,2002,78.2,30281.66799
Belgium,2003,78.2,30901.38272
Belgium,2004,79,32036.93551
Belgium,2005,79.1,33176.68088
Belgium,2006,79.5,35211.89373
Belgium,2007,79.9,36745.50307
Belgium,2008,79.8,37883.23342
Belgium,2009,80.1,37779.03488
Belgium,2010,80.3,39868.99266
Belgium,2011,80.7,40943.34348
Belgium,2012,80.5,42290.47767
Belgium,2013,80.7,43672.71229
Belgium,2014,81.4,44929.93333
Belgium,2015,81.1,46201.68589
Belgium,2016,81.5,48599.20268
Belgium,2017,81.6,50442.94752
Belgium,2018,81.7,52623.79438
Belgium,2019,82.1,54918.05364
Canada,2000,79,29363.14712
Canada,2001,79.2,30214.301
Canada,2002,79.4,30963.22201
Canada,2003,79.6,32333.60816
Canada,2004,79.8,33911.21829
Canada,2005,80,36327.66206
Canada,2006,80.3,38107.13624
Canada,2007,80.4,39555.5237
Canada,2008,80.6,40376.33017
Canada,2009,80.8,38893.72746
Canada,2010,81.1,40114.22204
Canada,2011,81.3,41666.71885
Canada,2012,81.5,42290.87908
Canada,2013,81.7,44298.51446
Canada,2014,81.8,45753.78294
Canada,2015,81.9,44670.05437
Canada,2016,82,46472.36877
Canada,2017,82,48316.71653
Canada,2018,82,50239.98828
Canada,2019,82.1,50660.58744
Czech Republic,2000,75.1,16214.96755
Czech Republic,2001,75.3,17615.59502
Czech Republic,2002,75.4,18245.66901
Czech Republic,2003,75.3,19503.29371
Czech Republic,2004,75.8,20894.60712
Czech Republic,2005,76.1,22045.99888
Czech Republic,2006,76.7,23827.14738
Czech Republic,2007,77,26189.79839
Czech Republic,2008,77.3,27853.5499
Czech Republic,2009,77.4,27656.01513
Czech Republic,2010,77.7,27789.60838
Czech Republic,2011,78,28999.75476
Czech Republic,2012,78.2,29258.90485
Czech Republic,2013,78.3,30828.52641
Czech Republic,2014,78.9,32504.21758
Czech Republic,2015,78.7,33909.30924
Czech Republic,2016,79.1,36101.2856
Czech Republic,2017,79.1,38842.89627
Czech Republic,2018,79.1,41147.63153
Czech Republic,2019,79.3,43326.663
Denmark,2000,76.9,28679.27072
Denmark,2001,77,29459.84574
Denmark,2002,77.1,30639.95369
Denmark,2003,77.4,30791.90346
Denmark,2004,77.8,32920.67692
Denmark,2005,78.3,34152.88166
Denmark,2006,78.4,37286.31986
Denmark,2007,78.4,38969.11972
Denmark,2008,78.8,41282.99547
Denmark,2009,79,40361.79068
Denmark,2010,79.3,43041.19236
Denmark,2011,79.9,44407.94207
Denmark,2012,80.1,44808.54921
Denmark,2013,80.4,46742.93966
Denmark,2014,80.8,47905.47708
Denmark,2015,80.8,49058.14234
Denmark,2016,80.9,51967.02044
Denmark,2017,81.2,55356.49009
Denmark,2018,81,57453.00583
Denmark,2019,81.5,59870.02533
Finland,2000,77.7,26796.41042
Finland,2001,78.2,27807.75313
Finland,2002,78.3,28605.12292
Finland,2003,78.5,29021.63568
Finland,2004,79,31175.72771
Finland,2005,79.1,32051.76289
Finland,2006,79.5,34408.81758
Finland,2007,79.6,37792.55669
Finland,2008,79.9,40083.70194
Finland,2009,80.1,38000.01877
Finland,2010,80.2,38985.87199
Finland,2011,80.6,40916.64733
Finland,2012,80.7,40872.8548
Finland,2013,81.1,41492.91842
Finland,2014,81.3,41749.86473
Finland,2015,81.6,42490.21105
Finland,2016,81.5,44934.48825
Finland,2017,81.7,47570.27035
Finland,2018,81.8,49700.52107
Finland,2019,82.1,51521.39825
France,2000,79.2,26106.0529
France,2001,79.3,27506.15675
France,2002,79.4,28528.15611
France,2003,79.3,28148.11565
France,2004,80.3,29040.96529
France,2005,80.4,30504.05878
France,2006,81,32431.43563
France,2007,81.2,34086.9568
France,2008,81.4,35102.87043
France,2009,81.5,34711.65571
France,2010,81.8,35939.45584
France,2011,82.3,37447.94954
France,2012,82.1,37684.19807
France,2013,82.3,39528.47364
France,2014,82.8,40144.05949
France,2015,82.4,40829.89331
France,2016,82.7,42855.94456
France,2017,82.7,44445.59677
France,2018,82.8,46419.31427
France,2019,82.9,49344.70871
Germany,2000,78.2,27462.90882
Germany,2001,78.5,28670.79061
Germany,2002,78.5,29504.28924
Germany,2003,78.6,30238.26926
Germany,2004,79.2,31715.39252
Germany,2005,79.4,32236.74099
Germany,2006,79.8,34620.41359
Germany,2007,80.1,36813.71345
Germany,2008,80.2,38432.44821
Germany,2009,80.3,37492.64945
Germany,2010,80.5,39707.32995
Germany,2011,80.5,42541.51313
Germany,2012,80.6,43359.54105
Germany,2013,80.6,44993.66784
Germany,2014,81.2,47011.2804
Germany,2015,80.7,47609.55716
Germany,2016,81.1,50579.48372
Germany,2017,81.1,53071.47837
Germany,2018,81,55142.15806
Germany,2019,81.4,56284.93644
Greece,2000,78.6,19524.70304
Greece,2001,79.1,20963.82207
Greece,2002,79.2,22615.95744
Greece,2003,79.3,23871.92182
Greece,2004,79.4,25439.31884
Greece,2005,79.7,25577.44544
Greece,2006,79.9,28510.87795
Greece,2007,79.7,29284.61282
Greece,2008,80.3,30855.93577
Greece,2009,80.4,30381.48202
Greece,2010,80.7,27934.31713
Greece,2011,80.8,25671.29122
Greece,2012,80.7,24911.06261
Greece,2013,81.4,25986.57671
Greece,2014,81.5,26625.18863
Greece,2015,81.1,26760.1522
Greece,2016,81.5,27511.77767
Greece,2017,81.4,28604.79458
Greece,2018,81.9,29652.89144
Greece,2019,81.7,30841.80174
Hungary,2000,71.9,11858.33441
Hungary,2001,72.5,13213.6356
Hungary,2002,72.5,14526.38825
Hungary,2003,72.6,15465.36535
Hungary,2004,73,16258.52224
Hungary,2005,73,17112.20219
Hungary,2006,73.5,18364.81325
Hungary,2007,73.6,19076.67061
Hungary,2008,74.2,20727.88997
Hungary,2009,74.4,20745.04373
Hungary,2010,74.7,21768.44459
Hungary,2011,75,23038.80802
Hungary,2012,75.2,23275.23186
Hungary,2013,75.7,24556.71527
Hungary,2014,75.9,25699.75058
Hungary,2015,75.7,26806.59531
Hungary,2016,76.2,27947.63759
Hungary,2017,75.9,29501.12049
Hungary,2018,76.2,31862.88242
Hungary,2019,76.4,33961.56557
Iceland,2000,79.7,29792.57614
Iceland,2001,80.8,31875.05109
Iceland,2002,80.6,32598.37602
Iceland,2003,81,32690.49603
Iceland,2004,81.1,35522.71446
Iceland,2005,81.6,37427.93497
Iceland,2006,81.2,39579.73726
Iceland,2007,81.5,41435.17855
Iceland,2008,81.7,43456.21676
Iceland,2009,81.8,41802.99936
Iceland,2010,82,39810.80342
Iceland,2011,82.4,40938.66455
Iceland,2012,83,42006.54335
Iceland,2013,82.1,44404.73159
Iceland,2014,82.9,45995.00169
Iceland,2015,82.5,49203.29499
Iceland,2016,82.3,53486.61577
Iceland,2017,82.7,55638.49198
Iceland,2018,82.9,58320.91164
Iceland,2019,83.2,60126.54178
Ireland,2000,76.6,30226.1385
Ireland,2001,77.2,32601.90244
Ireland,2002,77.7,35222.88196
Ireland,2003,78.2,36241.40731
Ireland,2004,78.6,38729.27838
Ireland,2005,79,40465.54024
Ireland,2006,79.3,44212.16744
Ireland,2007,79.7,46703.52351
Ireland,2008,80.2,44105.30562
Ireland,2009,80.3,41467.13628
Ireland,2010,80.8,43239.79466
Ireland,2011,80.8,45095.40402
Ireland,2012,80.9,46382.57421
Ireland,2013,81,47869.6735
Ireland,2014,81.4,51156.24772
Ireland,2015,81.5,69119.70393
Ireland,2016,81.7,71594.09569
Ireland,2017,82.2,77832.00899
Ireland,2018,82.3,84781.72193
Ireland,2019,82.8,89680.96917
Italy,2000,79.9,27084.20209
Italy,2001,80.2,28043.04706
Italy,2002,80.3,28721.07628
Italy,2003,80.1,29123.14761
Italy,2004,80.9,29457.25609
Italy,2005,80.9,30028.48898
Italy,2006,81.4,32268.16414
Italy,2007,81.5,33915.27817
Italy,2008,81.6,35292.60186
Italy,2009,81.7,34360.84702
Italy,2010,82.1,34866.52223
Italy,2011,82.3,36203.32852
Italy,2012,82.3,36091.37396
Italy,2013,82.8,36267.92535
Italy,2014,83.2,36475.97606
Italy,2015,82.6,37206.33182
Italy,2016,83.3,40267.22262
Italy,2017,83,41951.46633
Italy,2018,83.4,43511.51422
Italy,2019,83.6,44950.91166
Japan,2000,81.2,27285.18383
Japan,2001,81.5,27930.59322
Japan,2002,81.8,28633.69892
Japan,2003,81.8,29424.87192
Japan,2004,82.1,30845.95769
Japan,2005,82,32174.40011
Japan,2006,82.4,33615.08024
Japan,2007,82.6,34999.99702
Japan,2008,82.7,35278.74985
Japan,2009,83,33570.79632
Japan,2010,82.9,35356.4267
Japan,2011,82.7,36215.00627
Japan,2012,83.2,37628.67599
Japan,2013,83.4,39436.68259
Japan,2014,83.7,39559.76347
Japan,2015,83.9,40908.78155
Japan,2016,84.1,40642.70453
Japan,2017,84.2,41531.22162
Japan,2018,84.3,42415.26258
Japan,2019,84.4,42929.66131
South Korea,2000,76,18539.42075
South Korea,2001,76.5,19713.59554
South Korea,2002,76.8,21396.71919
South Korea,2003,77.3,22084.77857
South Korea,2004,77.8,23763.30783
South Korea,2005,78.2,25186.6381
South Korea,2006,78.8,26875.23251
South Korea,2007,79.2,29050.15963
South Korea,2008,79.6,29945.89922
South Korea,2009,80,29529.7856
South Korea,2010,80.2,31748.35357
South Korea,2011,80.6,32546.51773
South Korea,2012,80.9,33557.03045
South Korea,2013,81.4,34244.23949
South Korea,2014,81.8,35324.2603
South Korea,2015,82.1,37902.36102
South Korea,2016,82.4,39575.30208
South Korea,2017,82.7,40957.34706
South Korea,2018,82.7,42486.73981
South Korea,2019,83.3,42849.56029
Luxembourg,2000,78,55056.08138
Luxembourg,2001,77.9,56106.66119
Luxembourg,2002,78.1,58513.3936
Luxembourg,2003,77.8,60050.45842
Luxembourg,2004,79.2,64580.17229
Luxembourg,2005,79.5,68707.78171
Luxembourg,2006,79.4,78725.0213
Luxembourg,2007,79.5,84881.5771
Luxembourg,2008,80.6,90863.78408
Luxembourg,2009,80.7,86863.87508
Luxembourg,2010,80.7,90326.51628
Luxembourg,2011,81.1,94278.92285
Luxembourg,2012,81.5,96535.74583
Luxembourg,2013,81.9,100561.3664
Luxembourg,2014,82.3,104917.9457
Luxembourg,2015,82.4,107898.3042
Luxembourg,2016,82.8,112955.4702
Luxembourg,2017,82.2,114862.5288
Luxembourg,2018,82.4,117080.3903
Luxembourg,2019,82.7,119127.5119
Mexico,2000,74.7,10870.40959
Mexico,2001,75,10931.09462
Mexico,2002,75.1,10999.98034
Mexico,2003,75.1,11302.73755
Mexico,2004,75.4,11921.8371
Mexico,2005,75.2,12539.95753
Mexico,2006,75.5,13720.68829
Mexico,2007,75.3,14233.02948
Mexico,2008,75.1,14885.90244
Mexico,2009,74.9,14532.38651
Mexico,2010,74.8,15257.67366
Mexico,2011,74.9,16546.64141
Mexico,2012,75,17220.06914
Mexico,2013,75,17461.79827
Mexico,2014,74.9,18178.39742
Mexico,2015,74.7,18454.80148
Mexico,2016,74.8,19516.14502
Mexico,2017,74.9,19947.19769
Mexico,2018,75,20519.57785
Mexico,2019,75.1,20748.03272
The Netherlands,2000,78.2,31883.70496
The Netherlands,2001,78.3,33194.89749
The Netherlands,2002,78.4,34447.05337
The Netherlands,2003,78.7,34115.0657
The Netherlands,2004,79.2,35779.62287
The Netherlands,2005,79.5,37625.25244
The Netherlands,2006,79.9,40959.18563
The Netherlands,2007,80.3,43885.02094
The Netherlands,2008,80.5,46419.04259
The Netherlands,2009,80.8,44590.78156
The Netherlands,2010,81,45079.36741
The Netherlands,2011,81.3,46599.22766
The Netherlands,2012,81.2,47271.96823
The Netherlands,2013,81.4,49242.78671
The Netherlands,2014,81.8,49233.23035
The Netherlands,2015,81.6,50288.35282
The Netherlands,2016,81.6,52289.40429
The Netherlands,2017,81.8,55089.58143
The Netherlands,2018,81.9,57899.82496
The Netherlands,2019,82.2,59674.76803
New Zealand,2000,78.4,21471.61778
New Zealand,2001,78.7,22387.14733
New Zealand,2002,79,23180.06498
New Zealand,2003,79.3,23856.56537
New Zealand,2004,79.6,24995.64647
New Zealand,2005,79.8,25590.12745
New Zealand,2006,80.1,27664.74564
New Zealand,2007,80.3,29275.95405
New Zealand,2008,80.5,29748.93157
New Zealand,2009,80.7,30591.6218
New Zealand,2010,80.8,31152.55488
