Date,Country,Value
2000,Ethiopia,57.4
2005,Ethiopia,50
2011,Ethiopia,44.4
2014,Ethiopia,40.4
2016,Ethiopia,38.3
2019,Ethiopia,36.8
2003,Ghana,35.5
2006,Ghana,27.9
2008,Ghana,28.4
2011,Ghana,22.8
2014,Ghana,18.8
2017,Ghana,17.5
2000,Kenya,40.8
2003,Kenya,35.8
2005,Kenya,40.3
2008,Kenya,35.5
2011,Kenya,26.3
2014,Kenya,26.2
2003,Nigeria,42.5
2011,Nigeria,35.8
2014,Nigeria,33.6
2015,Nigeria,33
2016,Nigeria,43.6
2018,Nigeria,36.8
2020,Nigeria,31.5
2000,Rwanda,47.9
2005,Rwanda,51.4
2009,Rwanda,46.6
2010,Rwanda,44.3
2012,Rwanda,43.8
2015,Rwanda,36.9
2018,Rwanda,34.8
2020,Rwanda,33.1
