TIME,GDPPC Value,Hspending
2000,5512.21703,479.83047
2001,5407.11511,492.9915495
2002,5541.909015,523.2886762
2003,6138.104723,587.4964814
2004,6829.414125,646.8937225
2005,7305.393939,685.9089234
2006,7818.995169,727.9232291
2007,8701.177804,797.3423988
2008,9430.586423,864.3133411
2009,8837.219447,875.7328943
2010,9558.77174,914.2084296
2011,10494.83677,988.7568637
2012,10609.77086,999.0329754
2013,10784.66484,1015.774517
2014,10951.8086,1039.914961
2015,10223.00396,999.1036362
2016,10267.63884,1020.867542
2017,10801.43975,1064.92368
2018,11345.350,1111.082167
