LOCATION,TIME,GDP Value,HE Value
Canada,1980,11693.73635,791.572
Canada,1981,13082.55547,898.536
Canada,1982,13289.05397,995.784
Canada,1983,14029.42252,1066.424
Canada,1984,15249.74726,1134.677
Canada,1985,16327.42117,1212.484
Canada,1986,16845.22681,1278.429
Canada,1987,17729.53463,1357.036
Canada,1988,18917.51941,1460.854
Canada,1989,19756.9713,1579.06
Canada,1990,20223.08758,1699.253
Canada,1991,20218.01579,1804.656
Canada,1992,20619.41133,1896.876
Canada,1993,21432.76516,1930.297
Canada,1994,22625.12817,1961.593
Canada,1995,23477.63429,1984.334
Canada,1996,24041.98943,1999.164
Canada,1997,25251.11685,2091.353
Canada,1998,26310.95696,2199.791
Canada,1999,27841.62958,2278.254
Canada,2000,29363.14712,2450.981
Canada,2001,30214.301,2622.729
Canada,2002,30963.22201,2758.065
Canada,2003,32333.60816,2912.455
Canada,2004,33911.21829,3120.838
Canada,2005,36327.66206,3291.912
Canada,2006,38107.13624,3484.943
Canada,2007,39555.5237,3706.77
Canada,2008,40376.33017,3849.363
Canada,2009,38893.72746,3949.841
Canada,2010,40114.22204,4155.309
Canada,2011,41666.71885,4225.996
Canada,2012,42290.87908,4332.806
Canada,2013,44298.51446,4424.688
Canada,2014,45753.78294,4532.59
Canada,2015,44670.05437,4630.79
Canada,2016,46472.36877,5039.601
Canada,2017,48316.71653,5138.19
Canada,2018,50239.98828,5330.848
Canada,2019,50660.58744,5370.442
Canada,2020,48090.98651,
France,1980,9662.157878,658.852
France,1981,10629.15501,
France,1982,11499.15621,
France,1983,12032.71235,
France,1984,12594.02836,
France,1985,13137.43499,999.667
France,1986,13645.41429,
France,1987,14263.38472,
France,1988,15378.02326,
France,1989,16576.07541,
France,1990,17602.77512,1456.951
France,1991,18297.09381,1555.729
France,1992,18919.33564,1648.697
France,1993,19162.45698,1750.889
France,1994,19958.91094,1814.351
France,1995,20731.55977,2097.808
France,1996,21310.20195,2167.293
France,1997,22239.64007,2234.373
France,1998,23362.48815,2320.667
France,1999,24311.40386,2431.303
France,2000,26106.0529,2686.31
