areaCode,areaName,areaType,date,newCasesBySpecimenDate
E06000023,"Bristol, City of",ltla,2021-10-02,39
E06000023,"Bristol, City of",ltla,2021-10-01,91
E06000023,"Bristol, City of",ltla,2021-09-30,128
E06000023,"Bristol, City of",ltla,2021-09-29,94
E06000023,"Bristol, City of",ltla,2021-09-28,106
E06000023,"Bristol, City of",ltla,2021-09-27,119
E06000023,"Bristol, City of",ltla,2021-09-26,171
E06000023,"Bristol, City of",ltla,2021-09-25,171
E06000023,"Bristol, City of",ltla,2021-09-24,198
E06000023,"Bristol, City of",ltla,2021-09-23,224
E06000023,"Bristol, City of",ltla,2021-09-22,122
E06000023,"Bristol, City of",ltla,2021-09-21,92
E06000023,"Bristol, City of",ltla,2021-09-20,80
E06000023,"Bristol, City of",ltla,2021-09-19,189
E06000023,"Bristol, City of",ltla,2021-09-18,179
E06000023,"Bristol, City of",ltla,2021-09-17,155
E06000023,"Bristol, City of",ltla,2021-09-16,98
E06000023,"Bristol, City of",ltla,2021-09-15,68
E06000023,"Bristol, City of",ltla,2021-09-14,73
E06000023,"Bristol, City of",ltla,2021-09-13,80
E06000023,"Bristol, City of",ltla,2021-09-12,67
E06000023,"Bristol, City of",ltla,2021-09-11,69
E06000023,"Bristol, City of",ltla,2021-09-10,92
E06000023,"Bristol, City of",ltla,2021-09-09,213
E06000023,"Bristol, City of",ltla,2021-09-08,118
E06000023,"Bristol, City of",ltla,2021-09-07,144
E06000023,"Bristol, City of",ltla,2021-09-06,259
E06000023,"Bristol, City of",ltla,2021-09-05,216
E06000023,"Bristol, City of",ltla,2021-09-04,183
E06000023,"Bristol, City of",ltla,2021-09-03,271
E06000023,"Bristol, City of",ltla,2021-09-02,349
E06000023,"Bristol, City of",ltla,2021-09-01,308
E06000023,"Bristol, City of",ltla,2021-08-31,330
E06000023,"Bristol, City of",ltla,2021-08-30,224
E06000023,"Bristol, City of",ltla,2021-08-29,182
E06000023,"Bristol, City of",ltla,2021-08-28,183
E06000023,"Bristol, City of",ltla,2021-08-27,257
E06000023,"Bristol, City of",ltla,2021-08-26,313
E06000023,"Bristol, City of",ltla,2021-08-25,298
E06000023,"Bristol, City of",ltla,2021-08-24,314
E06000023,"Bristol, City of",ltla,2021-08-23,304
E06000023,"Bristol, City of",ltla,2021-08-22,242
E06000023,"Bristol, City of",ltla,2021-08-21,228
E06000023,"Bristol, City of",ltla,2021-08-20,308
E06000023,"Bristol, City of",ltla,2021-08-19,303
E06000023,"Bristol, City of",ltla,2021-08-18,387
E06000023,"Bristol, City of",ltla,2021-08-17,300
E06000023,"Bristol, City of",ltla,2021-08-16,315
E06000023,"Bristol, City of",ltla,2021-08-15,207
E06000023,"Bristol, City of",ltla,2021-08-14,203
E06000023,"Bristol, City of",ltla,2021-08-13,235
E06000023,"Bristol, City of",ltla,2021-08-12,261
E06000023,"Bristol, City of",ltla,2021-08-11,316
E06000023,"Bristol, City of",ltla,2021-08-10,278
E06000023,"Bristol, City of",ltla,2021-08-09,329
E06000023,"Bristol, City of",ltla,2021-08-08,219
E06000023,"Bristol, City of",ltla,2021-08-07,220
E06000023,"Bristol, City of",ltla,2021-08-06,280
E06000023,"Bristol, City of",ltla,2021-08-05,310
E06000023,"Bristol, City of",ltla,2021-08-04,335
E06000023,"Bristol, City of",ltla,2021-08-03,319
E06000023,"Bristol, City of",ltla,2021-08-02,285
E06000023,"Bristol, City of",ltla,2021-08-01,197
E06000023,"Bristol, City of",ltla,2021-07-31,198
E06000023,"Bristol, City of",ltla,2021-07-30,225
