"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2000",2153.634,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2001",2289.326,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2002",2481.046,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2003",2577.159,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2004",2816.73,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2005",2872.44,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2006",2994.952,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2007",3197.517,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2008",3350.144,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2009",3421.883,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.14,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4092.619,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.269,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4383.645,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4624.966,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4659.025,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",4793.46,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2019",4919.24,"E"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2000",2802.632,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2001",2857.931,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2002",3101.02,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2003",3197.296,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2004",3410.507,"B"
"AUT","HEALTHEXP","TOT","USD_CAP","A","2005",3475.867,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2006",3632.094,
"AUT","HEALTHEXP","TOT","USD_CAP","A","2007",3793.505,
