areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByVaccinationDate
E06000003,Redcar and Cleveland,utla,2021-10-03,94542
E06000014,York,utla,2021-10-03,142328
E06000050,Cheshire West and Chester,utla,2021-10-03,249811
E08000001,Bolton,utla,2021-10-03,182237
E08000016,Barnsley,utla,2021-10-03,165398
E08000031,Wolverhampton,utla,2021-10-03,156883
E08000032,Bradford,utla,2021-10-03,311346
E09000018,Hounslow,utla,2021-10-03,176412
E09000032,Wandsworth,utla,2021-10-03,220256
E09000033,Westminster,utla,2021-10-03,136607
E10000034,Worcestershire,utla,2021-10-03,427166
S12000013,Na h-Eileanan Siar,utla,2021-10-03,19686
S12000029,South Lanarkshire,utla,2021-10-03,235906
S12000045,East Dunbartonshire,utla,2021-10-03,83136
E06000003,Redcar and Cleveland,utla,2021-10-02,94488
E06000014,York,utla,2021-10-02,142257
E06000050,Cheshire West and Chester,utla,2021-10-02,249776
E08000001,Bolton,utla,2021-10-02,182194
E08000016,Barnsley,utla,2021-10-02,165354
E08000031,Wolverhampton,utla,2021-10-02,156806
E08000032,Bradford,utla,2021-10-02,311243
E09000018,Hounslow,utla,2021-10-02,176347
E09000032,Wandsworth,utla,2021-10-02,220166
E09000033,Westminster,utla,2021-10-02,136556
E10000034,Worcestershire,utla,2021-10-02,427066
S12000013,Na h-Eileanan Siar,utla,2021-10-02,19686
S12000029,South Lanarkshire,utla,2021-10-02,235810
S12000045,East Dunbartonshire,utla,2021-10-02,83080
E06000003,Redcar and Cleveland,utla,2021-10-01,94454
E06000014,York,utla,2021-10-01,142094
E06000050,Cheshire West and Chester,utla,2021-10-01,249561
E08000001,Bolton,utla,2021-10-01,182103
E08000016,Barnsley,utla,2021-10-01,165287
E08000031,Wolverhampton,utla,2021-10-01,156721
E08000032,Bradford,utla,2021-10-01,310959
E09000018,Hounslow,utla,2021-10-01,176122
E09000032,Wandsworth,utla,2021-10-01,219952
E09000033,Westminster,utla,2021-10-01,136439
E10000034,Worcestershire,utla,2021-10-01,426875
S12000013,Na h-Eileanan Siar,utla,2021-10-01,19679
S12000029,South Lanarkshire,utla,2021-10-01,235744
S12000045,East Dunbartonshire,utla,2021-10-01,83047
E06000003,Redcar and Cleveland,utla,2021-09-30,94403
E06000014,York,utla,2021-09-30,142023
E06000050,Cheshire West and Chester,utla,2021-09-30,249422
E08000001,Bolton,utla,2021-09-30,181982
E08000016,Barnsley,utla,2021-09-30,165240
E08000031,Wolverhampton,utla,2021-09-30,156604
E08000032,Bradford,utla,2021-09-30,310803
E09000018,Hounslow,utla,2021-09-30,175972
E09000032,Wandsworth,utla,2021-09-30,219787
E09000033,Westminster,utla,2021-09-30,136254
E10000034,Worcestershire,utla,2021-09-30,426630
S12000013,Na h-Eileanan Siar,utla,2021-09-30,19659
S12000029,South Lanarkshire,utla,2021-09-30,235540
S12000045,East Dunbartonshire,utla,2021-09-30,82987
E06000003,Redcar and Cleveland,utla,2021-09-29,94297
E06000014,York,utla,2021-09-29,141928
E06000050,Cheshire West and Chester,utla,2021-09-29,249294
E08000001,Bolton,utla,2021-09-29,181878
E08000016,Barnsley,utla,2021-09-29,165098
E08000031,Wolverhampton,utla,2021-09-29,156533
E08000032,Bradford,utla,2021-09-29,310621
E09000018,Hounslow,utla,2021-09-29,175845
E09000032,Wandsworth,utla,2021-09-29,219608
E09000033,Westminster,utla,2021-09-29,136075
E10000034,Worcestershire,utla,2021-09-29,426328
S12000013,Na h-Eileanan Siar,utla,2021-09-29,19659
S12000029,South Lanarkshire,utla,2021-09-29,235435
S12000045,East Dunbartonshire,utla,2021-09-29,82954
E06000003,Redcar and Cleveland,utla,2021-09-28,94203
E06000014,York,utla,2021-09-28,141835
E06000050,Cheshire West and Chester,utla,2021-09-28,249084
E08000001,Bolton,utla,2021-09-28,181728
E08000016,Barnsley,utla,2021-09-28,165013
E08000031,Wolverhampton,utla,2021-09-28,156365
E08000032,Bradford,utla,2021-09-28,310392
E09000018,Hounslow,utla,2021-09-28,175695
E09000032,Wandsworth,utla,2021-09-28,219389
E09000033,Westminster,utla,2021-09-28,135868
