areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByVaccinationDate
E06000023,"Bristol, City of",utla,2021-10-03,305892
E06000023,"Bristol, City of",utla,2021-10-02,305708
E06000023,"Bristol, City of",utla,2021-10-01,305216
E06000023,"Bristol, City of",utla,2021-09-30,305050
E06000023,"Bristol, City of",utla,2021-09-29,304763
E06000023,"Bristol, City of",utla,2021-09-28,304232
E06000023,"Bristol, City of",utla,2021-09-27,303870
E06000023,"Bristol, City of",utla,2021-09-26,303416
E06000023,"Bristol, City of",utla,2021-09-25,303217
E06000023,"Bristol, City of",utla,2021-09-24,302589
E06000023,"Bristol, City of",utla,2021-09-23,302326
E06000023,"Bristol, City of",utla,2021-09-22,301907
E06000023,"Bristol, City of",utla,2021-09-21,301280
E06000023,"Bristol, City of",utla,2021-09-20,300667
E06000023,"Bristol, City of",utla,2021-09-19,299993
E06000023,"Bristol, City of",utla,2021-09-18,299668
E06000023,"Bristol, City of",utla,2021-09-17,298878
E06000023,"Bristol, City of",utla,2021-09-16,298435
E06000023,"Bristol, City of",utla,2021-09-15,297968
E06000023,"Bristol, City of",utla,2021-09-14,297081
E06000023,"Bristol, City of",utla,2021-09-13,296432
E06000023,"Bristol, City of",utla,2021-09-12,295576
E06000023,"Bristol, City of",utla,2021-09-11,294976
E06000023,"Bristol, City of",utla,2021-09-10,293637
E06000023,"Bristol, City of",utla,2021-09-09,292705
E06000023,"Bristol, City of",utla,2021-09-08,291744
E06000023,"Bristol, City of",utla,2021-09-07,290270
E06000023,"Bristol, City of",utla,2021-09-06,289301
E06000023,"Bristol, City of",utla,2021-09-05,288189
E06000023,"Bristol, City of",utla,2021-09-04,287639
E06000023,"Bristol, City of",utla,2021-09-03,285861
E06000023,"Bristol, City of",utla,2021-09-02,284873
E06000023,"Bristol, City of",utla,2021-09-01,283329
E06000023,"Bristol, City of",utla,2021-08-31,281757
E06000023,"Bristol, City of",utla,2021-08-30,280255
E06000023,"Bristol, City of",utla,2021-08-29,279313
E06000023,"Bristol, City of",utla,2021-08-28,278597
E06000023,"Bristol, City of",utla,2021-08-27,276661
E06000023,"Bristol, City of",utla,2021-08-26,275044
E06000023,"Bristol, City of",utla,2021-08-25,273262
E06000023,"Bristol, City of",utla,2021-08-24,270995
E06000023,"Bristol, City of",utla,2021-08-23,269202
E06000023,"Bristol, City of",utla,2021-08-22,267163
E06000023,"Bristol, City of",utla,2021-08-21,266100
E06000023,"Bristol, City of",utla,2021-08-20,263808
E06000023,"Bristol, City of",utla,2021-08-19,262091
E06000023,"Bristol, City of",utla,2021-08-18,260451
E06000023,"Bristol, City of",utla,2021-08-17,258268
E06000023,"Bristol, City of",utla,2021-08-16,257173
E06000023,"Bristol, City of",utla,2021-08-15,255557
E06000023,"Bristol, City of",utla,2021-08-14,254898
E06000023,"Bristol, City of",utla,2021-08-13,252459
E06000023,"Bristol, City of",utla,2021-08-12,249849
E06000023,"Bristol, City of",utla,2021-08-11,248003
E06000023,"Bristol, City of",utla,2021-08-10,245016
E06000023,"Bristol, City of",utla,2021-08-09,243279
E06000023,"Bristol, City of",utla,2021-08-08,241572
E06000023,"Bristol, City of",utla,2021-08-07,241036
E06000023,"Bristol, City of",utla,2021-08-06,236853
E06000023,"Bristol, City of",utla,2021-08-05,234672
E06000023,"Bristol, City of",utla,2021-08-04,233465
E06000023,"Bristol, City of",utla,2021-08-03,231952
E06000023,"Bristol, City of",utla,2021-08-02,230650
E06000023,"Bristol, City of",utla,2021-08-01,229612
E06000023,"Bristol, City of",utla,2021-07-31,228714
E06000023,"Bristol, City of",utla,2021-07-30,225857
E06000023,"Bristol, City of",utla,2021-07-29,224223
E06000023,"Bristol, City of",utla,2021-07-28,222959
E06000023,"Bristol, City of",utla,2021-07-27,221378
E06000023,"Bristol, City of",utla,2021-07-26,220052
E06000023,"Bristol, City of",utla,2021-07-25,218554
E06000023,"Bristol, City of",utla,2021-07-24,217755
E06000023,"Bristol, City of",utla,2021-07-23,216261
E06000023,"Bristol, City of",utla,2021-07-22,214731
E06000023,"Bristol, City of",utla,2021-07-21,213674
E06000023,"Bristol, City of",utla,2021-07-20,212165
E06000023,"Bristol, City of",utla,2021-07-19,210706
E06000023,"Bristol, City of",utla,2021-07-18,209939
E06000023,"Bristol, City of",utla,2021-07-17,209605
E06000023,"Bristol, City of",utla,2021-07-16,206920
E06000023,"Bristol, City of",utla,2021-07-15,205712
E06000023,"Bristol, City of",utla,2021-07-14,204550
E06000023,"Bristol, City of",utla,2021-07-13,202649
E06000023,"Bristol, City of",utla,2021-07-12,201653
E06000023,"Bristol, City of",utla,2021-07-11,201100
E06000023,"Bristol, City of",utla,2021-07-10,200856
E06000023,"Bristol, City of",utla,2021-07-09,198189
E06000023,"Bristol, City of",utla,2021-07-08,197187
E06000023,"Bristol, City of",utla,2021-07-07,196567
E06000023,"Bristol, City of",utla,2021-07-06,195413
E06000023,"Bristol, City of",utla,2021-07-05,194534
E06000023,"Bristol, City of",utla,2021-07-04,193668
E06000023,"Bristol, City of",utla,2021-07-03,193291
E06000023,"Bristol, City of",utla,2021-07-02,191480
E06000023,"Bristol, City of",utla,2021-07-01,189639
E06000023,"Bristol, City of",utla,2021-06-30,188922
E06000023,"Bristol, City of",utla,2021-06-29,187678
E06000023,"Bristol, City of",utla,2021-06-28,186940
E06000023,"Bristol, City of",utla,2021-06-27,186316
E06000023,"Bristol, City of",utla,2021-06-26,185957
E06000023,"Bristol, City of",utla,2021-06-25,185066
E06000023,"Bristol, City of",utla,2021-06-24,184420
E06000023,"Bristol, City of",utla,2021-06-23,183853
E06000023,"Bristol, City of",utla,2021-06-22,183025
E06000023,"Bristol, City of",utla,2021-06-21,182071
E06000023,"Bristol, City of",utla,2021-06-20,181654
E06000023,"Bristol, City of",utla,2021-06-19,181626
E06000023,"Bristol, City of",utla,2021-06-18,179834
E06000023,"Bristol, City of",utla,2021-06-17,179185
E06000023,"Bristol, City of",utla,2021-06-16,178313
E06000023,"Bristol, City of",utla,2021-06-15,177286
E06000023,"Bristol, City of",utla,2021-06-14,176244
E06000023,"Bristol, City of",utla,2021-06-13,175189
E06000023,"Bristol, City of",utla,2021-06-12,174897
E06000023,"Bristol, City of",utla,2021-06-11,173136
E06000023,"Bristol, City of",utla,2021-06-10,171846
E06000023,"Bristol, City of",utla,2021-06-09,170142
E06000023,"Bristol, City of",utla,2021-06-08,167657
E06000023,"Bristol, City of",utla,2021-06-07,166078
E06000023,"Bristol, City of",utla,2021-06-06,164605
E06000023,"Bristol, City of",utla,2021-06-05,163603
E06000023,"Bristol, City of",utla,2021-06-04,160044
E06000023,"Bristol, City of",utla,2021-06-03,157579
E06000023,"Bristol, City of",utla,2021-06-02,155862
E06000023,"Bristol, City of",utla,2021-06-01,153132
E06000023,"Bristol, City of",utla,2021-05-31,151094
E06000023,"Bristol, City of",utla,2021-05-30,150492
E06000023,"Bristol, City of",utla,2021-05-29,149835
E06000023,"Bristol, City of",utla,2021-05-28,147122
E06000023,"Bristol, City of",utla,2021-05-27,143878
E06000023,"Bristol, City of",utla,2021-05-26,141299
E06000023,"Bristol, City of",utla,2021-05-25,137149
E06000023,"Bristol, City of",utla,2021-05-24,134283
E06000023,"Bristol, City of",utla,2021-05-23,132590
E06000023,"Bristol, City of",utla,2021-05-22,132044
E06000023,"Bristol, City of",utla,2021-05-21,126169
E06000023,"Bristol, City of",utla,2021-05-20,122154
E06000023,"Bristol, City of",utla,2021-05-19,120598
E06000023,"Bristol, City of",utla,2021-05-18,117118
E06000023,"Bristol, City of",utla,2021-05-17,115419
E06000023,"Bristol, City of",utla,2021-05-16,114226
E06000023,"Bristol, City of",utla,2021-05-15,113569
E06000023,"Bristol, City of",utla,2021-05-14,109820
E06000023,"Bristol, City of",utla,2021-05-13,107140
E06000023,"Bristol, City of",utla,2021-05-12,104686
E06000023,"Bristol, City of",utla,2021-05-11,101689
E06000023,"Bristol, City of",utla,2021-05-10,100385
E06000023,"Bristol, City of",utla,2021-05-09,99725
E06000023,"Bristol, City of",utla,2021-05-08,99456
E06000023,"Bristol, City of",utla,2021-05-07,95658
E06000023,"Bristol, City of",utla,2021-05-06,93833
E06000023,"Bristol, City of",utla,2021-05-05,92292
E06000023,"Bristol, City of",utla,2021-05-04,89599
