areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E06000023,"Bristol, City of",utla,2021-10-03,16_17,10169.0,1610.0,11.0,5348.0,10.0,1610.0,11.0,52.6,15.8,15.8
E06000023,"Bristol, City of",utla,2021-10-03,18_24,63771.0,36038.0,69.0,43658.0,6.0,36038.0,69.0,68.5,56.5,56.5
E06000023,"Bristol, City of",utla,2021-10-03,25_29,53656.0,31507.0,31.0,36075.0,9.0,31507.0,31.0,67.2,58.7,58.7
E06000023,"Bristol, City of",utla,2021-10-03,30_34,53303.0,33094.0,30.0,36876.0,2.0,33094.0,30.0,69.2,62.1,62.1
E06000023,"Bristol, City of",utla,2021-10-03,35_39,46044.0,29919.0,17.0,32704.0,4.0,29919.0,17.0,71.0,65.0,65.0
E06000023,"Bristol, City of",utla,2021-10-03,40_44,37480.0,26271.0,9.0,27964.0,4.0,26271.0,9.0,74.6,70.1,70.1
E06000023,"Bristol, City of",utla,2021-10-03,45_49,31545.0,23778.0,10.0,25057.0,4.0,23778.0,10.0,79.4,75.4,75.4
E06000023,"Bristol, City of",utla,2021-10-03,50_54,29501.0,23910.0,4.0,24810.0,1.0,23910.0,4.0,84.1,81.0,81.0
E06000023,"Bristol, City of",utla,2021-10-03,55_59,27546.0,23100.0,1.0,23868.0,0.0,23100.0,1.0,86.6,83.9,83.9
E06000023,"Bristol, City of",utla,2021-10-03,60_64,22137.0,19111.0,0.0,19730.0,1.0,19111.0,0.0,89.1,86.3,86.3
E06000023,"Bristol, City of",utla,2021-10-03,65_69,17977.0,16106.0,1.0,16390.0,1.0,16106.0,1.0,91.2,89.6,89.6
E06000023,"Bristol, City of",utla,2021-10-03,70_74,16550.0,15311.0,1.0,15480.0,0.0,15311.0,1.0,93.5,92.5,92.5
E06000023,"Bristol, City of",utla,2021-10-03,75_79,11602.0,10853.0,0.0,10960.0,0.0,10853.0,0.0,94.5,93.5,93.5
E06000023,"Bristol, City of",utla,2021-10-03,80_84,8187.0,7731.0,0.0,7800.0,0.0,7731.0,0.0,95.3,94.4,94.4
E06000023,"Bristol, City of",utla,2021-10-03,85_89,5090.0,4795.0,0.0,4851.0,0.0,4795.0,0.0,95.3,94.2,94.2
E06000023,"Bristol, City of",utla,2021-10-03,90+,2927.0,2758.0,0.0,2787.0,0.0,2758.0,0.0,95.2,94.2,94.2
E06000023,"Bristol, City of",utla,2021-10-02,16_17,10169.0,1599.0,28.0,5338.0,61.0,1599.0,28.0,52.5,15.7,15.7
E06000023,"Bristol, City of",utla,2021-10-02,18_24,63771.0,35969.0,184.0,43652.0,52.0,35969.0,184.0,68.5,56.4,56.4
E06000023,"Bristol, City of",utla,2021-10-02,25_29,53656.0,31476.0,114.0,36066.0,41.0,31476.0,114.0,67.2,58.7,58.7
E06000023,"Bristol, City of",utla,2021-10-02,30_34,53303.0,33064.0,78.0,36874.0,21.0,33064.0,78.0,69.2,62.0,62.0
E06000023,"Bristol, City of",utla,2021-10-02,35_39,46044.0,29902.0,45.0,32700.0,12.0,29902.0,45.0,71.0,64.9,64.9
E06000023,"Bristol, City of",utla,2021-10-02,40_44,37480.0,26262.0,11.0,27960.0,7.0,26262.0,11.0,74.6,70.1,70.1
E06000023,"Bristol, City of",utla,2021-10-02,45_49,31545.0,23768.0,10.0,25053.0,7.0,23768.0,10.0,79.4,75.3,75.3
E06000023,"Bristol, City of",utla,2021-10-02,50_54,29501.0,23906.0,10.0,24809.0,4.0,23906.0,10.0,84.1,81.0,81.0
E06000023,"Bristol, City of",utla,2021-10-02,55_59,27546.0,23099.0,6.0,23868.0,1.0,23099.0,6.0,86.6,83.9,83.9
E06000023,"Bristol, City of",utla,2021-10-02,60_64,22137.0,19111.0,1.0,19729.0,0.0,19111.0,1.0,89.1,86.3,86.3
E06000023,"Bristol, City of",utla,2021-10-02,65_69,17977.0,16105.0,3.0,16389.0,3.0,16105.0,3.0,91.2,89.6,89.6
